number,value,state,datetime_start,datetime_complete,duration_seconds,params_json,fold_sharpes_json,avg_cv_sharpe
10,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.251824,2026-04-01T02:11:03.268100,0.016276,"{""atr_window"": 16, ""bb_std_dev"": 2.2, ""bb_window"": 17, ""cooldown"": 2, ""macd_fast"": 16, ""macd_k"": 1.0, ""macd_k_mid"": 0.95, ""macd_signal"": 10, ""macd_slow"": 40, ""macd_std_window"": 81, ""rebalance_freq"": 180, ""rebounce_block"": 2, ""sl_mult_lm"": 1.0, ""sl_mult_lr"": 3.1, ""sl_mult_sm"": 1.9500000000000002, ""sl_mult_sr"": 2.2, ""time_stop"": 10, ""tp_mult_lm"": 3.5, ""tp_mult_lr"": 8.4, ""tp_mult_sm"": 5.800000000000001, ""tp_mult_sr"": 3.9, ""trail_mult"": 3.8000000000000003, ""trail_tp"": true, ""use_trailing"": true}",{},
11,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.308346,2026-04-01T02:11:03.326416,0.01807,"{""atr_window"": 17, ""bb_std_dev"": 2.5, ""bb_window"": 14, ""cooldown"": 1, ""macd_fast"": 11, ""macd_k"": 1.5, ""macd_k_mid"": 0.7, ""macd_signal"": 9, ""macd_slow"": 40, ""macd_std_window"": 70, ""rebalance_freq"": 180, ""rebounce_block"": 6, ""sl_mult_lm"": 1.35, ""sl_mult_lr"": 2.0, ""sl_mult_sm"": 1.75, ""sl_mult_sr"": 1.5, ""time_stop"": 13, ""tp_mult_lm"": 4.9, ""tp_mult_lr"": 11.0, ""tp_mult_sm"": 3.1, ""tp_mult_sr"": 4.0, ""trail_mult"": 3.2, ""trail_tp"": true, ""use_trailing"": true}",{},
12,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.362678,2026-04-01T02:11:03.376432,0.013754,"{""atr_window"": 18, ""bb_std_dev"": 2.3, ""bb_window"": 15, ""cooldown"": 1, ""macd_fast"": 15, ""macd_k"": 1.5, ""macd_k_mid"": 0.7, ""macd_signal"": 9, ""macd_slow"": 44, ""macd_std_window"": 77, ""rebalance_freq"": 150, ""rebounce_block"": 4, ""sl_mult_lm"": 1.3, ""sl_mult_lr"": 3.5, ""sl_mult_sm"": 2.0, ""sl_mult_sr"": 1.7, ""time_stop"": 9, ""tp_mult_lm"": 5.2, ""tp_mult_lr"": 8.2, ""tp_mult_sm"": 3.0, ""tp_mult_sr"": 5.7, ""trail_mult"": 3.2, ""trail_tp"": true, ""use_trailing"": true}",{},
13,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.404747,2026-04-01T02:11:03.417709,0.012962,"{""atr_window"": 15, ""bb_std_dev"": 2.05, ""bb_window"": 16, ""cooldown"": 1, ""macd_fast"": 13, ""macd_k"": 1.7000000000000002, ""macd_k_mid"": 1.0, ""macd_signal"": 9, ""macd_slow"": 39, ""macd_std_window"": 84, ""rebalance_freq"": 150, ""rebounce_block"": 4, ""sl_mult_lm"": 1.15, ""sl_mult_lr"": 2.7, ""sl_mult_sm"": 1.65, ""sl_mult_sr"": 1.8, ""time_stop"": 16, ""tp_mult_lm"": 4.7, ""tp_mult_lr"": 15.0, ""tp_mult_sm"": 4.9, ""tp_mult_sr"": 4.5, ""trail_mult"": 3.0, ""trail_tp"": false, ""use_trailing"": true}",{},
14,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.449597,2026-04-01T02:11:03.461838,0.012241,"{""atr_window"": 19, ""bb_std_dev"": 2.35, ""bb_window"": 14, ""cooldown"": 2, ""macd_fast"": 10, ""macd_k"": 1.2, ""macd_k_mid"": 0.6, ""macd_signal"": 8, ""macd_slow"": 39, ""macd_std_window"": 75, ""rebalance_freq"": 150, ""rebounce_block"": 3, ""sl_mult_lm"": 1.55, ""sl_mult_lr"": 3.3, ""sl_mult_sm"": 1.9, ""sl_mult_sr"": 2.5, ""time_stop"": 6, ""tp_mult_lm"": 6.0, ""tp_mult_lr"": 9.8, ""tp_mult_sm"": 5.6, ""tp_mult_sr"": 3.8, ""trail_mult"": 3.7, ""trail_tp"": false, ""use_trailing"": true}",{},
15,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.535389,2026-04-01T02:11:03.546760,0.011371,"{""atr_window"": 16, ""bb_std_dev"": 1.4, ""bb_window"": 18, ""cooldown"": 1, ""macd_fast"": 17, ""macd_k"": 1.4, ""macd_k_mid"": 0.8500000000000001, ""macd_signal"": 7, ""macd_slow"": 41, ""macd_std_window"": 85, ""rebalance_freq"": 180, ""rebounce_block"": 5, ""sl_mult_lm"": 1.2, ""sl_mult_lr"": 2.5, ""sl_mult_sm"": 1.65, ""sl_mult_sr"": 1.9, ""time_stop"": 12, ""tp_mult_lm"": 5.3, ""tp_mult_lr"": 12.0, ""tp_mult_sm"": 3.6, ""tp_mult_sr"": 7.0, ""trail_mult"": 2.9000000000000004, ""trail_tp"": true, ""use_trailing"": true}",{},
16,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.596345,2026-04-01T02:11:03.609324,0.012979,"{""atr_window"": 18, ""bb_std_dev"": 2.2, ""bb_window"": 24, ""cooldown"": 0, ""macd_fast"": 12, ""macd_k"": 1.8, ""macd_k_mid"": 0.5, ""macd_signal"": 9, ""macd_slow"": 44, ""macd_std_window"": 96, ""rebalance_freq"": 90, ""rebounce_block"": 1, ""sl_mult_lm"": 1.55, ""sl_mult_lr"": 3.0, ""sl_mult_sm"": 1.8, ""sl_mult_sr"": 2.2, ""time_stop"": 17, ""tp_mult_lm"": 4.7, ""tp_mult_lr"": 9.4, ""tp_mult_sm"": 4.3, ""tp_mult_sr"": 4.6, ""trail_mult"": 3.3, ""trail_tp"": true, ""use_trailing"": true}",{},
17,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.639284,2026-04-01T02:11:07.314881,3.675597,"{""atr_window"": 12, ""bb_std_dev"": 2.5, ""bb_window"": 16, ""cooldown"": 3, ""macd_fast"": 14, ""macd_k"": 1.15, ""macd_k_mid"": 0.7, ""macd_signal"": 10, ""macd_slow"": 35, ""macd_std_window"": 74, ""rebalance_freq"": 150, ""rebounce_block"": 5, ""sl_mult_lm"": 1.15, ""sl_mult_lr"": 2.0, ""sl_mult_sm"": 1.55, ""sl_mult_sr"": 1.5, ""time_stop"": 6, ""tp_mult_lm"": 5.6, ""tp_mult_lr"": 12.0, ""tp_mult_sm"": 6.1, ""tp_mult_sr"": 3.5, ""trail_mult"": 3.6, ""trail_tp"": false, ""use_trailing"": true}",{},
18,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.390754,2026-04-01T02:11:07.411578,0.020824,"{""atr_window"": 15, ""bb_std_dev"": 1.9, ""bb_window"": 18, ""cooldown"": 2, ""macd_fast"": 12, ""macd_k"": 1.45, ""macd_k_mid"": 0.55, ""macd_signal"": 7, ""macd_slow"": 38, ""macd_std_window"": 87, ""rebalance_freq"": 150, ""rebounce_block"": 3, ""sl_mult_lm"": 1.4, ""sl_mult_lr"": 3.8, ""sl_mult_sm"": 1.85, ""sl_mult_sr"": 2.8, ""time_stop"": 20, ""tp_mult_lm"": 5.0, ""tp_mult_lr"": 14.4, ""tp_mult_sm"": 7.0, ""tp_mult_sr"": 5.6, ""trail_mult"": 2.7, ""trail_tp"": false, ""use_trailing"": false}",{},
19,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:07.442534,2026-04-01T02:11:07.454029,0.011495,"{""atr_window"": 17, ""bb_std_dev"": 2.35, ""bb_window"": 15, ""cooldown"": 1, ""macd_fast"": 15, ""macd_k"": 1.55, ""macd_k_mid"": 0.65, ""macd_signal"": 8, ""macd_slow"": 41, ""macd_std_window"": 82, ""rebalance_freq"": 90, ""rebounce_block"": 1, ""sl_mult_lm"": 1.7000000000000002, ""sl_mult_lr"": 2.5, ""sl_mult_sm"": 1.7000000000000002, ""sl_mult_sr"": 2.3, ""time_stop"": 14, ""tp_mult_lm"": 4.0, ""tp_mult_lr"": 10.2, ""tp_mult_sm"": 5.2, ""tp_mult_sr"": 4.8, ""trail_mult"": 1.5, ""trail_tp"": true, ""use_trailing"": true}",{},
